run_time,case,symbol,period,horizon,model,feature_set,forecast_date,latest_close,direction,prob_up,prob_down,expected_price,lower_price,upper_price,model_quality,accuracy,roc_auc,target_date,target_close,actual_return,actual_direction,prediction_correct,evaluated_at,live_bid,live_ask,live_mid,live_spread,live_price_time,live_price_age_minutes,forecast_date_bj,live_price_time_bj
2026-09-26 00:29:08,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-24 08:00:00,4290.07,偏空,0.3563829660415649,0.6436170339584351,4284.430184587364,4211.982415428262,4334.376399445276,偏低,0.5751269035532995,0.5792049168176759,2026-09-24 20:00:00,4264.82,-0.0058856848489651,0.0,1.0,2026-09-26 00:32:52,,,,,,,,
2026-09-26 00:31:35,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-25 19:00:00,4292.94,震荡/方向不明,0.4160583913326263,0.5839416086673737,4296.375132544596,4223.878896787632,4346.354760758615,偏低,0.5751269035532995,0.5792049168176759,,,,,,,,,,,,,,
2026-09-26 00:32:51,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-25 19:00:00,4292.17,震荡/方向不明,0.4160583913326263,0.5839416086673737,4295.6045164045945,4223.121283881203,4345.575180059658,偏低,0.5751269035532995,0.5792049168176759,,,,,,,,,,,,,,
2026-09-26 01:06:56,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-25 20:00:00,4291.76,震荡/方向不明,0.4160583913326263,0.5839416086673737,4294.725554796849,4222.249246073152,4344.691445115325,偏低,0.5751269035532995,0.5792049168176759,,,,,,,,,,,,,,
2026-09-26 02:46:57,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-25 21:00:00,4289.91,震荡/方向不明,0.4712643623352051,0.5287356376647949,4295.521002792005,4226.906436593128,4343.491039099065,偏低,0.5731548480463097,0.5753099849201105,,,,,,,4291.2,4291.31,4291.255,0.110000000000582,2026.09.25 21:47:01.336,299.9,2026-09-26 02:00,2026-09-26 02:47
2026-09-26 03:11:31,H1_12bar,XAUUSD,H1,12,xgb,h1_external_intraday_v4_gld,2026-09-25 22:00:00,4294.23,震荡/方向不明,0.39878049492836,0.60121950507164,4295.433489992295,4226.749827955516,4343.451832803886,偏低,0.5731548480463097,0.5753099849201105,,,,,,,4294.38,4294.49,4294.435,0.1099999999996725,2026.09.25 22:11:35.303,299.9,2026-09-26 03:00,2026-09-26 03:11
